STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",1/1/2019,,0.06,0,0,,58,39
USW00094728,"NY CITY CENTRAL PARK, NY US",1/2/2019,,0,0,0,,40,35
USW00094728,"NY CITY CENTRAL PARK, NY US",1/3/2019,,0,0,0,,44,37
USW00094728,"NY CITY CENTRAL PARK, NY US",1/4/2019,,0,0,0,,47,35
USW00094728,"NY CITY CENTRAL PARK, NY US",1/5/2019,,0.5,0,0,,47,41
USW00094728,"NY CITY CENTRAL PARK, NY US",1/6/2019,,0,0,0,,49,31
USW00094728,"NY CITY CENTRAL PARK, NY US",1/7/2019,,0,0,0,,34,25
USW00094728,"NY CITY CENTRAL PARK, NY US",1/8/2019,,0.17,0,0,,45,34
USW00094728,"NY CITY CENTRAL PARK, NY US",1/9/2019,,0.06,0,0,,45,34
USW00094728,"NY CITY CENTRAL PARK, NY US",1/10/2019,,0,0,0,,34,28
USW00094728,"NY CITY CENTRAL PARK, NY US",1/11/2019,,0,0,0,,30,21
USW00094728,"NY CITY CENTRAL PARK, NY US",1/12/2019,,0,0,0,,34,20
USW00094728,"NY CITY CENTRAL PARK, NY US",1/13/2019,,0,0,0,,33,25
USW00094728,"NY CITY CENTRAL PARK, NY US",1/14/2019,,0,0,0,,32,22
USW00094728,"NY CITY CENTRAL PARK, NY US",1/15/2019,,0,0,0,,36,25
USW00094728,"NY CITY CENTRAL PARK, NY US",1/16/2019,,0,0,0,,39,30
USW00094728,"NY CITY CENTRAL PARK, NY US",1/17/2019,,0,0,0,,33,24
USW00094728,"NY CITY CENTRAL PARK, NY US",1/18/2019,,0.05,0.5,1.2,,39,29
USW00094728,"NY CITY CENTRAL PARK, NY US",1/19/2019,,0.29,0.2,0,,37,32
USW00094728,"NY CITY CENTRAL PARK, NY US",1/20/2019,,0.88,0,0,,42,14
USW00094728,"NY CITY CENTRAL PARK, NY US",1/21/2019,,0,0,0,,14,4
USW00094728,"NY CITY CENTRAL PARK, NY US",1/22/2019,,0,0,0,,31,13
USW00094728,"NY CITY CENTRAL PARK, NY US",1/23/2019,,0,0,0,,52,31
USW00094728,"NY CITY CENTRAL PARK, NY US",1/24/2019,,1.33,0,0,,59,35
USW00094728,"NY CITY CENTRAL PARK, NY US",1/25/2019,,0,0,0,,40,28
USW00094728,"NY CITY CENTRAL PARK, NY US",1/26/2019,,0,0,0,,35,24
USW00094728,"NY CITY CENTRAL PARK, NY US",1/27/2019,,0,0,0,,49,32
USW00094728,"NY CITY CENTRAL PARK, NY US",1/28/2019,,0,0,0,,38,25
USW00094728,"NY CITY CENTRAL PARK, NY US",1/29/2019,,0.23,0,0,,43,25
USW00094728,"NY CITY CENTRAL PARK, NY US",1/30/2019,,0.01,0.4,0,,35,6
USW00094728,"NY CITY CENTRAL PARK, NY US",1/31/2019,,0,0,0,,16,2
USW00094728,"NY CITY CENTRAL PARK, NY US",2/1/2019,,0,0,0,,21,11
USW00094728,"NY CITY CENTRAL PARK, NY US",2/2/2019,,0,0,0,,34,16
USW00094728,"NY CITY CENTRAL PARK, NY US",2/3/2019,,0,0,0,,53,33
USW00094728,"NY CITY CENTRAL PARK, NY US",2/4/2019,,0,0,0,,61,41
USW00094728,"NY CITY CENTRAL PARK, NY US",2/5/2019,,0,0,0,,65,44
USW00094728,"NY CITY CENTRAL PARK, NY US",2/6/2019,,0.45,0,0,,46,35
USW00094728,"NY CITY CENTRAL PARK, NY US",2/7/2019,,0.07,0,0,,44,39
USW00094728,"NY CITY CENTRAL PARK, NY US",2/8/2019,,0.37,0,0,,55,32
USW00094728,"NY CITY CENTRAL PARK, NY US",2/9/2019,,0,0,0,,32,23
USW00094728,"NY CITY CENTRAL PARK, NY US",2/10/2019,,0,0,0,,35,23
USW00094728,"NY CITY CENTRAL PARK, NY US",2/11/2019,,0,0,0,,38,30
USW00094728,"NY CITY CENTRAL PARK, NY US",2/12/2019,,0.75,1.2,0,,36,26
USW00094728,"NY CITY CENTRAL PARK, NY US",2/13/2019,,0.08,0,1.2,,41,33
USW00094728,"NY CITY CENTRAL PARK, NY US",2/14/2019,,0,0,0,,46,33
USW00094728,"NY CITY CENTRAL PARK, NY US",2/15/2019,,0,0,0,,59,42
USW00094728,"NY CITY CENTRAL PARK, NY US",2/16/2019,,0,0,0,,47,32
USW00094728,"NY CITY CENTRAL PARK, NY US",2/17/2019,,0.04,0,0,,38,26
USW00094728,"NY CITY CENTRAL PARK, NY US",2/18/2019,,0.09,0,0,,42,26
USW00094728,"NY CITY CENTRAL PARK, NY US",2/19/2019,,0,0,0,,36,23
USW00094728,"NY CITY CENTRAL PARK, NY US",2/20/2019,,0.57,1.3,0,,33,26
USW00094728,"NY CITY CENTRAL PARK, NY US",2/21/2019,,0.1,0,1.2,,52,33
USW00094728,"NY CITY CENTRAL PARK, NY US",2/22/2019,,0,0,0,,44,36
USW00094728,"NY CITY CENTRAL PARK, NY US",2/23/2019,,0.01,0,0,,42,32
USW00094728,"NY CITY CENTRAL PARK, NY US",2/24/2019,,0.58,0,0,,47,36
